text,buzz,views,visibility,quien_puede_responder,fecha,hora
Nullam molestie nibh in lectus.,,2092,false,Todos,2022-11-10,10:57 AM
Suspendisse accumsan tortor quis turpis. Sed ante.,,3171,false,Todos,2022-08-29,1:16 AM
"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",,4042,true,Todos,2023-05-08,12:20 AM
Proin at turpis a pede posuere nonummy.,,5307,true,Menciones,2023-04-28,12:14 AM
Donec vitae nisi.,,518,false,Todos,2022-12-02,10:49 AM
"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",,4168,true,Todos,2022-09-18,2:19 PM
Pellentesque viverra pede ac diam.,Realigned,7241,false,Todos,2022-12-15,10:59 PM
"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",,5244,true,Todos,2023-05-23,8:29 AM
Curabitur gravida nisi at nibh.,,7258,false,Todos,2023-05-03,9:31 AM
Nam dui.,secured line,7086,true,Todos,2023-04-10,2:28 PM
Donec semper sapien a libero.,,5516,true,Todos,2023-02-17,3:45 PM
Donec posuere metus vitae ipsum. Aliquam non mauris.,Front-line,6518,true,Todos,2022-12-25,8:13 AM
Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,conglomeration,3743,false,Todos,2022-11-10,8:46 AM
Aenean fermentum.,,2936,false,Todos,2023-04-10,9:51 PM
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",,7057,true,Menciones,2023-01-29,2:17 PM
"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",web-enabled,354,false,Todos,2023-05-14,7:50 AM
"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Operative,7596,true,Todos,2023-03-10,11:26 PM
Quisque id justo sit amet sapien dignissim vestibulum.,,3064,false,Todos,2022-10-03,12:07 PM
"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",software,5370,true,Menciones,2023-01-04,11:50 PM
Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Polarised,18,true,Todos,2023-01-05,2:36 PM
Morbi quis tortor id nulla ultrices aliquet.,,4047,false,Todos,2023-04-15,5:18 PM
Etiam pretium iaculis justo.,Organized,3680,true,Todos,2022-08-07,8:36 AM
Nulla nisl. Nunc nisl.,,6458,false,Todos,2023-05-12,3:58 AM
"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",,3112,false,Todos,2023-05-11,11:55 PM
"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",,6419,false,Todos,2023-01-29,6:58 PM
"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",challenge,407,false,Todos,2023-02-14,12:51 PM
Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,systemic,2970,false,Todos,2023-01-20,8:48 AM
"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",,1485,false,Menciones,2022-05-28,4:24 AM
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",,2541,true,Todos,2022-10-19,9:58 PM
Proin eu mi. Nulla ac enim.,,1698,false,Todos,2023-01-30,12:14 AM
Quisque porta volutpat erat.,,822,false,Todos,2023-04-07,10:38 AM
Suspendisse potenti.,,5051,false,Todos,2022-06-10,1:24 AM
Fusce posuere felis sed lacus.,mobile,7385,false,Todos,2022-06-17,5:46 PM
Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,,2764,true,Todos,2022-08-03,6:03 PM
Cras in purus eu magna vulputate luctus.,24/7,3834,false,Todos,2022-06-15,7:44 PM
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",,5393,false,Todos,2023-05-19,6:13 PM
Proin eu mi.,,7978,true,Menciones,2022-09-14,6:36 AM
Duis at velit eu est congue elementum.,,1366,false,Todos,2022-09-01,10:48 PM
Etiam vel augue. Vestibulum rutrum rutrum neque.,Synergized,2407,true,Todos,2022-07-02,10:04 PM
Nulla ut erat id mauris vulputate elementum. Nullam varius.,,801,false,Todos,2022-11-09,12:05 PM
Pellentesque eget nunc.,budgetary management,7658,false,Todos,2022-09-07,12:57 AM
In sagittis dui vel nisl. Duis ac nibh.,adapter,3435,true,Todos,2022-08-03,9:39 PM
"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",,6185,false,Todos,2023-03-13,10:59 PM
Proin eu mi.,system engine,1755,false,Todos,2023-05-13,5:39 AM
Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,,4838,false,Todos,2022-07-10,8:40 PM
Morbi quis tortor id nulla ultrices aliquet.,,6910,false,Todos,2022-06-21,12:05 AM
Aliquam non mauris. Morbi non lectus.,productivity,1768,false,Todos,2022-12-03,11:24 AM
Donec semper sapien a libero. Nam dui.,,4256,false,Todos,2023-04-23,10:26 PM
Mauris ullamcorper purus sit amet nulla.,zero administration,1375,false,Todos,2022-10-20,4:14 AM
