fecha,hora,tipo,trending,visto
2022-07-01,11:02 AM,follow,false,true
2022-12-05,5:08 PM,retweet,false,true
2022-06-21,3:43 AM,follow,false,false
2022-05-31,6:19 AM,recomendation,true,false
2023-05-16,10:55 AM,mention,false,false
2022-08-30,2:07 PM,comment,false,true
2023-02-18,8:56 AM,comment,false,true
2022-12-13,2:02 PM,retweet,false,true
2022-06-20,11:36 PM,mention,false,true
2022-07-11,6:17 AM,like,false,false
2022-08-15,8:34 AM,retweet,false,true
2022-07-11,4:08 AM,like,false,true
2022-09-07,8:01 PM,like,false,true
2023-01-20,5:02 PM,recomendation,true,true
2023-03-01,7:27 AM,like,false,false
2023-02-09,12:08 AM,comment,false,true
2022-12-13,5:41 AM,retweet,false,true
2022-08-25,5:57 PM,follow,false,true
2022-10-24,5:29 AM,follow,false,false
2023-05-02,12:48 AM,follow,false,true
2022-06-27,3:32 PM,retweet,false,true
2023-03-12,3:46 AM,mention,false,true
2022-08-24,6:03 AM,recomendation,true,true
2022-12-09,5:02 AM,comment,false,true
2022-08-31,4:22 AM,comment,false,true
2023-04-22,8:07 PM,comment,false,true
2022-10-31,7:31 AM,recomendation,true,false
2023-03-10,3:46 PM,like,false,false
2022-07-21,6:06 AM,retweet,false,true
2023-04-04,12:27 PM,retweet,false,false
2023-03-15,11:41 AM,retweet,false,true
2022-07-26,4:35 AM,retweet,false,true
2023-03-01,8:00 AM,mention,false,true
2022-11-11,5:24 PM,comment,false,false
2022-10-28,5:57 PM,recomendation,true,true
2022-07-08,1:51 AM,mention,false,false
2023-01-24,1:35 AM,like,false,true
2022-07-28,4:24 AM,like,false,true
2022-08-06,11:38 PM,comment,false,false
2022-08-02,3:10 AM,recomendation,true,false
2022-09-30,1:01 AM,mention,false,true
2023-04-23,7:35 AM,recomendation,true,false
2022-06-02,5:52 PM,mention,false,true
2022-05-27,10:28 AM,like,false,true
2022-06-04,6:03 AM,comment,false,false
2022-12-03,12:09 AM,recomendation,true,true
2022-11-06,12:27 AM,like,false,true
2022-08-31,10:42 PM,mention,false,false
2022-09-28,7:22 PM,mention,false,true
2023-03-11,8:46 PM,retweet,false,false
2023-03-01,4:57 AM,recomendation,true,false
2022-07-13,3:15 PM,follow,false,true
2023-02-20,1:43 PM,comment,false,true
2022-10-02,5:05 PM,comment,false,true
2023-02-13,3:35 PM,follow,false,true
2022-10-14,3:03 AM,mention,false,false
2022-11-23,2:16 PM,follow,false,true
2023-02-24,5:18 PM,retweet,false,false
2022-11-11,5:16 AM,follow,false,false
2022-08-16,12:44 AM,comment,false,true
2023-02-23,2:29 AM,follow,false,false
2023-02-05,9:23 AM,mention,false,false
2022-08-31,11:16 PM,retweet,false,true
2022-08-16,5:43 AM,retweet,false,true
2022-10-10,1:49 PM,mention,false,true
2022-06-26,4:57 AM,follow,false,false
2022-11-21,1:29 PM,like,false,false
2023-02-15,12:26 PM,recomendation,true,true
2023-01-06,6:38 PM,mention,false,true
2022-12-31,2:37 PM,like,false,true
2022-07-10,8:44 AM,follow,false,true
2022-10-25,11:51 PM,follow,false,false
2023-03-25,2:35 PM,comment,false,false
2022-10-16,8:34 PM,comment,false,true
2022-09-22,12:28 PM,follow,false,false
2022-09-07,10:38 PM,retweet,false,false
2023-05-08,4:58 PM,mention,false,true
2022-11-10,4:32 AM,comment,false,false
2022-10-25,1:48 AM,like,false,true
2022-06-26,3:42 AM,recomendation,true,false
2022-11-02,6:31 AM,recomendation,true,false
2022-12-03,8:06 AM,retweet,false,true
2022-07-24,11:18 PM,comment,false,true
2023-01-14,3:40 AM,like,false,false
2022-09-29,8:54 AM,comment,false,false
2022-10-02,1:44 AM,like,false,false
2022-09-11,3:15 PM,recomendation,true,true
2023-01-28,7:01 AM,like,false,false
2022-06-06,8:25 PM,retweet,false,false
2022-08-29,3:48 AM,mention,false,false
2022-10-19,12:24 AM,like,false,false
2022-08-25,3:51 AM,retweet,false,false
2023-01-28,4:43 PM,follow,false,true
2023-02-24,11:00 AM,mention,false,false
2022-06-07,8:54 PM,retweet,false,true
2023-01-16,5:19 AM,recomendation,true,true
2022-09-07,8:18 PM,retweet,false,true
2022-12-13,11:12 AM,recomendation,true,false
2022-10-23,12:52 AM,retweet,false,false
2022-12-16,5:41 AM,retweet,false,true
2023-04-29,6:13 AM,mention,false,true
2023-02-19,3:35 PM,comment,false,false
2023-01-18,6:55 AM,like,false,false
2022-11-13,10:22 PM,mention,false,false
2023-02-05,6:39 AM,mention,false,false
2023-04-06,9:43 PM,like,false,false
2023-04-27,12:51 AM,follow,false,false
2022-10-13,4:00 AM,recomendation,true,false
2022-07-08,6:50 AM,recomendation,true,false
2023-01-21,1:52 PM,recomendation,true,true
2022-11-22,1:43 PM,comment,false,false
2022-09-07,3:33 PM,comment,false,true
2023-03-01,10:32 PM,follow,false,false
2022-09-24,4:21 AM,recomendation,true,false
2023-02-02,4:52 PM,like,false,true
2022-08-18,1:20 PM,like,false,true
2023-05-26,1:53 AM,like,false,false
2022-11-13,9:16 AM,follow,false,false
2022-12-11,7:29 PM,mention,false,false
2022-09-16,1:41 PM,follow,false,false
2023-05-18,8:08 AM,mention,false,true
2023-01-27,2:08 PM,like,false,false
2022-12-21,6:18 PM,follow,false,true
2022-08-13,5:17 AM,mention,false,false
2022-10-11,6:16 AM,mention,false,true
2023-05-24,11:09 AM,retweet,false,true
